ID,Excel行,设计单元ID,单元,位置标签,注入位置,故障类型,适用频率,事件触发条件,负载,计数基准,建议样本量,SDC%,Crash%,Timeout%,Masked%,仿真器断言崩溃占比%,潜伏期（commit序号）,污染扇出数,为什么这么设计（精简）
E001,R2,D01,Int Decode,opcode字段·单比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,单比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期多数变成非法指令→Crash，极少数翻到另一个合法 opcode 才可能 SDC，SDC 概率很低
E002,R3,D01,Int Decode,opcode字段·单比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,单比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期多数变成非法指令→Crash，极少数翻到另一个合法 opcode 才可能 SDC，SDC 概率很低
E003,R4,D01,Int Decode,opcode字段·单比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,单比特翻转,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期多数变成非法指令→Crash，极少数翻到另一个合法 opcode 才可能 SDC，SDC 概率很低
E004,R5,D01,Int Decode,opcode字段·单比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,单比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期多数变成非法指令→Crash，极少数翻到另一个合法 opcode 才可能 SDC，SDC 概率很低
E005,R6,D01,Int Decode,opcode字段·单比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,单比特翻转,F2,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期多数变成非法指令→Crash，极少数翻到另一个合法 opcode 才可能 SDC，SDC 概率很低
E006,R7,D01,Int Decode,opcode字段·单比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,单比特翻转,F2,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期多数变成非法指令→Crash，极少数翻到另一个合法 opcode 才可能 SDC，SDC 概率很低
E007,R8,D02,Int Decode,opcode字段·双比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,双比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期崩溃率高于 「opcode字段·单比特翻转」：两个比特同时错，落在合法编码空间的概率通常低于单比特翻转（合法编码是稀疏子集，出错维度越多越难蒙对）
E008,R9,D02,Int Decode,opcode字段·双比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,双比特翻转,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期崩溃率高于 「opcode字段·单比特翻转」：两个比特同时错，落在合法编码空间的概率通常低于单比特翻转（合法编码是稀疏子集，出错维度越多越难蒙对）
E009,R10,D02,Int Decode,opcode字段·双比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,双比特翻转,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期崩溃率高于 「opcode字段·单比特翻转」：两个比特同时错，落在合法编码空间的概率通常低于单比特翻转（合法编码是稀疏子集，出错维度越多越难蒙对）
E010,R11,D02,Int Decode,opcode字段·双比特翻转,译码输出锁存器（decode→rename 流水线寄存器）的 opcode 字段,双比特翻转,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期崩溃率高于 「opcode字段·单比特翻转」：两个比特同时错，落在合法编码空间的概率通常低于单比特翻转（合法编码是稀疏子集，出错维度越多越难蒙对）
E011,R12,D03,Int Decode,opcode字段·换值,译码输出锁存器的 opcode 字段,换值（结构化）,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期 SDC 概率明显高于 「opcode字段·单比特翻转」/「opcode字段·双比特翻转」 的翻转，因为绕开了「非法编码即崩溃」这道天然防线
E012,R13,D03,Int Decode,opcode字段·换值,译码输出锁存器的 opcode 字段,换值（结构化）,F0,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期 SDC 概率明显高于 「opcode字段·单比特翻转」/「opcode字段·双比特翻转」 的翻转，因为绕开了「非法编码即崩溃」这道天然防线
E013,R14,D03,Int Decode,opcode字段·换值,译码输出锁存器的 opcode 字段,换值（结构化）,F1,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,预期 SDC 概率明显高于 「opcode字段·单比特翻转」/「opcode字段·双比特翻转」 的翻转，因为绕开了「非法编码即崩溃」这道天然防线
E014,R15,D03,Int Decode,opcode字段·换值,译码输出锁存器的 opcode 字段,换值（结构化）,F1,—（不涉及事件触发）,Embench,运行计数,2000 次运行,,,,,,,,预期 SDC 概率明显高于 「opcode字段·单比特翻转」/「opcode字段·双比特翻转」 的翻转，因为绕开了「非法编码即崩溃」这道天然防线
E015,R16,D04,Int Decode,源/目的寄存器号字段·单比特翻转,译码输出锁存器的源/目的寄存器操作数字段,单比特翻转,F0,—（不涉及事件触发）,CoreMark,运行计数,2000 次运行,,,,,,,,寄存器号字段位宽窄、合法值密集（31 个架构寄存器只需 5 位编码），翻转后仍落在合法范围的概率较高，预期比 opcode 翻转更容易产生「合法但错误」的 SDC
