Excel行,模型ID,单元,注入位置（结构与正常作用）,故障类型,故障模型（实施步骤与激活口径）,适用频率,适用负载（真实名称）,事件触发条件,传播链重点观测,预期结果（待验证假设）,设计理由,文献依据/直接性
2,A01,AGU,AGU 计算完成后的有效地址（EA）流水寄存器。它位于 base/index/offset 运算之后、L1 d-TLB 地址翻译之前，保存本条 load/store 将要访问的虚拟地址；此处出错会沿 d-TLB、L1D 和最终 load/store 结果继续传播。,单比特翻转,在完成地址加法后、送入DTLB前随机翻转EA的1 bit；地址位按低/中/高三段分层抽样。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“任一已完成地址生成”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F1 / F2,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
GAP/Graph500 子集（BFS、SSSP、PageRank，固定图与结果哈希）",任一已完成地址生成,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；记录bit区间、地址是否仍在同一对象/页、首次错误load/store,高位翻转多为异常/Crash；低位在合法对象内时易形成错误元素访问并产生SDC,覆盖最基本瞬态；分层采样避免高位地址异常掩盖低位静默路径,无直接AGU注入；仅同机制类比DTLB地址错误
3,A02,AGU,AGU 计算完成后的有效地址（EA）流水寄存器。它位于地址加法/移位逻辑的出口、L1 d-TLB 的入口；双比特模型仍只作用于这一条地址，不同时破坏访问大小或请求类型。,双比特翻转,同一EA内同时翻转2 bit；50%相邻、50%非相邻，避免只覆盖单一MBU空间。实施细则：每次故障运行只选一个有效结构项，在同一字段内同时异或两个不同 bit；相邻位与非相邻位分层各占一半，并记录两个 bit 的编号、距离、原值和故障值。两个 bit 必须在同一个微架构事件生效，不与其他字段故障叠加。激活口径：仅当“任一已完成地址生成”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
GAP/Graph500 子集（BFS、SSSP、PageRank，固定图与结果哈希）",任一已完成地址生成,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；记录两bit距离、对齐状态、页/对象越界,相邻低位可能形成稳定错位；含高位时Crash上升；与A01比较SDC/Crash极化,显式覆盖MBU并区分物理邻近与逻辑分散,CHAOS多比特结果作规律性类比
4,A03,AGU,AGU 地址加法器的 EA 输出总线/输出位。每条 load/store 完成“基址+偏移或索引”后都会经过这里；某一位卡死会让多条后续访存地址形成重复的固定偏差，而不是只影响一个队列表项。,卡死,选一个EA bit实施stuck-at-0或stuck-at-1，warm-up后每次地址生成均施加。实施细则：在 warm-up 后固定一个物理 bit、lane 或控制位置，并独立执行 stuck-at-0 与 stuck-at-1 两个 campaign；之后每次读出/写入都施加同一掩码直到运行结束。若某次事件的正确值本来就等于卡死值，该次不增加 activated。激活口径：仅当“首个AGU事件后持续”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F5,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
STREAM+PointerChase（Copy、Scale、Add、Triad 与随机指针链）",首个AGU事件后持续,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；按bit统计地址碰撞率、唯一地址数、store覆盖热点,低位卡死表现为周期性地址折叠；高位通常快速Crash；可能出现重复写同一元素的稳定SDC,永久数据通路故障会跨多次访问形成有规律的地址别名,无直接文献
5,A04,AGU,AGU 输出的完整 EA 及其对应的软件对象范围。这里不是另一个硬件表，而是在 AGU→d-TLB 边界把正确地址替换为同一已分配对象或同一映射页中的另一合法地址，用于研究“地址合法但对象/元素错误”。,换值,把EA替换成同一已分配对象或同页内另一个对齐合法地址；禁止替换成未映射地址。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“地址属于带oracle对象时”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
MiniCheck 最小正确性探针（数组校验和、guard page、指针链、load/store round-trip）",地址属于带oracle对象时,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；记录替代距离、是否同cache line、错误值扇出,预期SDC显著高于随机翻转，因为绕开地址异常与页故障,专门检验“合法但错误地址”这一随机翻转难命中的路径,本方案结构化模型
6,A05,AGU,AGU 的寻址操作数选择与预处理控制，包括 base/index 选择、UXTW/SXTW 扩展、LSL 移位以及 pre-index/post-index 的基址更新方式。这些控制信号决定参与地址加法的值和基址何时写回。,错位拼接,互换base与index；SXTW↔UXTW；shift量替换为另一合法值；pre-index↔post-index仅改变更新时点。实施细则：保持各输入片段本身不变，只修改片段来源、顺序、移位量或拼接选择，使结果仍是完整位串；交换、循环移位、清零和读旧值必须作为独立子模型统计。每次运行只启用一种拼接规则，记录每个输出字节/子字段的真实来源。激活口径：仅当“命中对应AArch64寻址模式”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）,命中对应AArch64寻址模式,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；记录寻址模式、基址写回值、错误潜伏提交数,地址仍合法时高SDC；符号扩展和更新时点错误可能在数十条指令后才显现,对应AGU真正的操作数选择和扩展逻辑，而非泛化位翻转,无直接文献
7,A06,AGU,AGU/LSU 随访存请求生成的 access-size 与 byte-enable 字段。access-size 表示本次访问是 1/2/4/8/16B，byte-enable 指定 cache line 中哪些字节真正读写；地址正确但这些字段错误仍会造成截断、越界字节或部分写。,状态,把1/2/4/8/16B size或byte-enable替换为另一合法组合；保持地址不变。实施细则：一次运行只改变一个状态位或一种状态转换；清零、伪造、提前置位和延后清除分别统计，不在同一样本叠加。注入前后记录状态机轨迹与关联 instruction/transaction，检查是否破坏占用、唯一性或顺序不变量。激活口径：仅当“子字节或向量访存”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）",子字节或向量访存,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；逐字节store日志、相邻字节canary、load扩展方式,partial store最易静默污染相邻字节；load可能表现为截断/符号扩展错误,地址正确并不保证写入范围正确；这是AGU/LSU控制路径的高价值结构化故障,本方案结构化模型
8,A07,AGU,AGU 结果的 address-ready 握手信号与 EA 流水锁存器。ready 告诉下游“本条地址已经可用”，锁存器保存跨周期的 EA；提前 ready 可能让下游读到上一拍旧地址，延后或丢失 ready 会造成停顿或请求丢失。,时序,提前1周期置ready读取旧EA，或延后1周期/丢失一次ready；不改变值本身。实施细则：绑定一条明确的 dynamic instruction 或 transaction ID，只改变一次事件的发生周期或次数；提前、延后、丢失和重复必须分成独立子模型。数据载荷保持正确，以便把结果归因于握手/完成时序而不是数据翻转。激活口径：仅当“连续相关访存”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F4 / F6,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）",连续相关访存,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；旧EA命中率、stall/replay、请求重复/丢失,提前最危险，可能复用上一条EA并SDC；延后多为性能下降或Timeout,覆盖小延迟故障映射到状态事件的后果,MICRO'24 DelayAVF提供时延故障方法论，非直接AGU结果
9,A08,AGU,AGU 到 Load Queue、Store Queue 和 cache 端口之间的请求类型/端口路由。该逻辑把已生成的 EA 绑定到正确的动态指令，并区分 load 与 store；路由错会使合法地址附着到错误请求或错误端口。,换值,保持EA合法，但把请求路由到错误的load/store通道或交换两条同周期请求的EA。实施细则：不生成任意随机位串，而是从当前运行中选择另一个满足对齐、范围、编码和生命周期约束的合法值；保存 source/target 及候选集合。每次运行只替换一个字段或一个选择结果，非法候选、空闲项和已经释放的事务不得使用。激活口径：仅当“同周期存在load与store”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2 / F6,"AGU-AddrModes AArch64 寻址模式探针（base+imm、base+index、扩展/移位、pre/post-index、LDP/STP）
SQ-Forward 转发探针（同地址/部分重叠 store-to-load forwarding、字节掩码、alias、replay）",同周期存在load与store,L0 eligible/activated；L1 正确EA与故障EA、base/index/extend/shift、size/byte-enable；L2 TLB输入VA与cache request；L3 load返回/store落点；L4 commit首分歧；L5输出/Crash/Timeout；记录请求ID、dynInst、端口、EA映射一致性,交换两条合法EA可能通过检查并产生数据/内存SDC；非法路由多触发断言,B0有独立Load FU和Store FU，需覆盖路由选择而非虚构双load端口,无直接文献
10,T01,L1d-TLB,L1 d-TLB 表项的 VPN tag（Virtual Page Number 标签）。查 TLB 时用当前虚拟页号和 ASID 与它比较；tag 错误会产生本应命中的 miss，或更危险的错误命中另一条翻译。,单比特翻转,随机选有效表项的VPN tag翻转1 bit；只在注入后再次命中才计activated。实施细则：每次故障运行只选一个当前有效且可被后续使用的目标，在指定字段内均匀抽取一个 bit 做一次 XOR 翻转；其余字段保持无故障值。保存目标 entry/way、bit 编号、原值和故障值，避免把未使用空项计为有效样本。激活口径：仅当“DTLB中存在有效项”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F1 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）",DTLB中存在有效项,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；错hit/miss、walk后是否自愈、错误PA,多为miss/walk或错误命中；TC'23表明DTLB非benign中SDC可达22.2%,直接复现文献型瞬态并加入生命周期分母,TC'22、TC'23直接对照
11,T02,L1d-TLB,L1 d-TLB 表项中的 PPN（Physical Page Number，物理页号）翻译数据。VPN/ASID 命中后，PPN 与页内偏移拼成送往 L1D 的物理地址；这里不包含权限位。,双比特翻转,PPN内同时翻转2 bit，邻近/非邻近各半；权限位不动。实施细则：每次故障运行只选一个有效结构项，在同一字段内同时异或两个不同 bit；相邻位与非相邻位分层各占一半，并记录两个 bit 的编号、距离、原值和故障值。两个 bit 必须在同一个微架构事件生效，不与其他字段故障叠加。激活口径：仅当“有效表项且后续复用”且故障值被下游实际读取、选择或消费时计为 activated；否则归入 Injected-not-activated。,F0 / F2,"MiBench-TC23 论文负载（blowfish、patricia、fft、gsm、dijkstra、rijndael、sha、bitcount、edge、smooth）
TLB-AliasPerm 地址翻译探针（4KiB/2MiB 页、ASID、同VA不同PA、权限、TLBI、跨页访问）",有效表项且后续复用,L0 表项是否被命中；L1 VPN/ASID/PPN/权限/valid与多命中；L2 walk/refill/TLBI、送cache的PA；L3 cache行与异常；L4 commit首分歧/错误页访问；L5结局；PA距离、是否命中有效DRAM/设备区、异常类型,比单bit更易进入未映射PA而Crash；同物理对象别名时可能SDC,补足文献主要未覆盖的MBU,TC'23单bit基线；CHAOS多bit规律类比
